restaurant,label,country,locality,region,zip,address
http://ontology.daniel-motz.de/ontology#Pizzeria_562,U Pick 6 Beer Store,US,http://www.wikidata.org/entity/Q234061,PA,16509,7520 Peach St
http://ontology.daniel-motz.de/ontology#Pizzeria_208,Buddha Belly Deli,US,http://www.wikidata.org/entity/Q3784796,NV,89074,50 N Valle Verde Dr
http://ontology.daniel-motz.de/ontology#Pizzeria_571,Papa John's Pizza,US,Bronx,NY,10462,2241 Westchester Ave
http://ontology.daniel-motz.de/ontology#Pizzeria_497,Fire Works - Arlington,US,http://www.wikidata.org/entity/Q2025520,VA,22201,2350 Clarendon Blvd
http://ontology.daniel-motz.de/ontology#Pizzeria_566,Firestone's,US,http://www.wikidata.org/entity/Q165941,MD,21701,105 N Market St
http://ontology.daniel-motz.de/ontology#Pizzeria_329,Jimmys Slice,US,http://www.wikidata.org/entity/Q490434,La Conchita,93001,586 E Main St
http://ontology.daniel-motz.de/ontology#Pizzeria_471,Josephine's Pizza Pastaria,US,Green Bay,Howard,54313,2560 Glendale Ave
http://ontology.daniel-motz.de/ontology#Pizzeria_10,Uncle John's Pizza,US,http://www.wikidata.org/entity/Q51694,TX,75052,3480 S Carrier Pkwy
http://ontology.daniel-motz.de/ontology#Pizzeria_235,Passero's Pizza,US,http://www.wikidata.org/entity/Q6558990,IL,60532,5328 Main Saint (rt 53)
http://ontology.daniel-motz.de/ontology#Pizzeria_303,Centerville Pizza & Bbq,US,http://www.wikidata.org/entity/Q1020984,Washington Township,45458,9470 Dayton Lebanon Pike
http://ontology.daniel-motz.de/ontology#Pizzeria_515,Avocado Cafe,US,http://www.wikidata.org/entity/Q1774629,CA,92612,6060 Scholarship
http://ontology.daniel-motz.de/ontology#Pizzeria_347,Pizza Time,US,http://www.wikidata.org/entity/Q1663450,ME,4103,1223 Washington Ave
http://ontology.daniel-motz.de/ontology#Pizzeria_548,Bricco Kent,US,http://www.wikidata.org/entity/Q3708897,OH,44240,210 S Depeyster St
http://ontology.daniel-motz.de/ontology#Pizzeria_214,Rye Grill and Bar,US,http://www.wikidata.org/entity/Q1020800,NY,10580,1 Station Plz
http://ontology.daniel-motz.de/ontology#Pizzeria_293,Somma Pizza & Sports Bar,US,http://www.wikidata.org/entity/Q1087483,PA,15147,380 Route 909
http://ontology.daniel-motz.de/ontology#Pizzeria_309,Pizza Masters,US,http://www.wikidata.org/entity/Q122589495,Pamrapo,7002,532 Broadway
http://ontology.daniel-motz.de/ontology#Pizzeria_706,Pappy's Place,US,http://www.wikidata.org/entity/Q486479,MN,55901,1635 Us 52 N
http://ontology.daniel-motz.de/ontology#Pizzeria_794,Getaway Cafe,US,http://www.wikidata.org/entity/Q1342,Pitt,15226,3049 Sussex Ave
http://ontology.daniel-motz.de/ontology#Pizzeria_803,Big Daddy's Pizza,US,http://www.wikidata.org/entity/Q122543322,Cushing,84047,7669 S 700 E
http://ontology.daniel-motz.de/ontology#Pizzeria_416,Draft Pick,US,http://www.wikidata.org/entity/Q2872106,TX,78741,1620 E Riverside Dr
http://ontology.daniel-motz.de/ontology#Pizzeria_510,Eat Maine Gourmet,US,http://www.wikidata.org/entity/Q486472,MO,64111,4112 Pennsylvania Ave
